decision_time,rankable,high_illiquidity_return,low_illiquidity_return,high_minus_low,amihud_rank_ic,controlled_amihud_slope,high_vol_minus_low_vol,low_volume_minus_high_volume,score_market_beta_spearman,score_mom7_spearman,score_mom28_spearman,score_vol28_spearman,score_max28_spearman,score_log_volume30_spearman,selected_symbol,selected_gross_return
2023-03-04T00:00:00Z,24,-0.09471078297504927,-0.04574994182128726,-0.04896084115376201,-0.37913043478260866,-0.29644715446495157,-0.049675079762335206,-0.00563332538742467,0.3104347826086956,-0.4017391304347826,0.03826086956521739,0.5295652173913042,0.3,-0.8486956521739129,SNXUSDT,-0.10517851399163713
2023-03-11T00:00:00Z,24,0.10910481603190121,0.0940492207874108,0.015055595244490405,-0.047826086956521734,0.10416219698226556,-0.0004164218137902159,-0.013953483783968462,0.2869565217391304,-0.32521739130434785,-0.23043478260869563,0.5043478260869565,0.14869565217391303,-0.8982608695652173,SNXUSDT,0.03127246585190524
2023-03-18T00:00:00Z,24,-0.04455330765148322,0.045948918086831034,-0.09050222573831426,-0.35913043478260864,0.09012340874997707,-0.10874752020865375,-0.08122918963085288,0.4269565217391304,0.004347826086956522,-0.2939130434782608,0.4843478260869564,0.13304347826086957,-0.8973913043478261,DASHUSDT,0.025520833333333215
2023-03-25T00:00:00Z,24,0.06997931318585653,0.0169428499558014,0.05303646323005513,0.3,0.021678654554724574,0.008321763135747284,0.04780029399214685,0.3556521739130434,-0.29739130434782607,-0.6904347826086955,0.17304347826086955,-0.26086956521739124,-0.957391304347826,VETUSDT,0.018372703412073532
2023-04-01T00:00:00Z,24,-0.009425900651087993,-0.013974250420551759,0.004548349769463765,0.01826086956521739,0.018973042666341863,-0.032071457377923517,0.004548349769463765,0.4408695652173913,0.10782608695652172,-0.37304347826086953,0.10695652173913042,-0.11739130434782606,-0.9678260869565216,VETUSDT,0.04467353951890041
2023-04-08T00:00:00Z,24,0.092868414891353,0.12627393131090775,-0.03340551641955475,-0.11391304347826085,0.12689446303896074,0.030615174965049924,-0.03340551641955475,0.45826086956521733,0.11565217391304347,-0.20869565217391303,0.19043478260869565,-0.08869565217391304,-0.9582608695652173,VETUSDT,0.07730263157894735
2023-04-15T00:00:00Z,24,-0.13218644890653009,-0.11228625489218233,-0.019900194014347755,-0.38,-0.2568002718018302,-0.03170030759566307,-0.02432262172791122,0.49304347826086947,0.04347826086956521,-0.2860869565217391,0.1973913043478261,-0.12,-0.9669565217391304,VETUSDT,-0.1564885496183206
2023-04-22T00:00:00Z,24,-0.03369501372489177,0.018548322628461046,-0.052243336353352814,-0.40956521739130425,-0.14050149263830344,0.018823585821526746,-0.040229870474265496,0.5078260869565216,-0.3930434782608695,-0.3391304347826086,0.25478260869565217,0.13217391304347825,-0.9539130434782607,KAVAUSDT,0.0011633919338158716
2023-04-29T00:00:00Z,24,-0.07391347853358936,-0.045822681219352776,-0.028090797314236582,-0.3660869565217391,0.04859654921782964,-0.035884199360122285,-0.04137262772119248,0.39391304347826084,-0.1878260869565217,-0.4721739130434783,0.23391304347826083,0.03826086956521739,-0.9626086956521739,KAVAUSDT,-0.06300839251129753
2023-05-06T00:00:00Z,24,0.024195454704842502,-0.029507658418465765,0.05370311312330826,-0.3304347826086956,0.35595907631770857,-0.05844690486444561,-0.036203349210237275,0.468695652173913,-0.1695652173913043,-0.643478260869565,0.13478260869565215,-0.12608695652173912,-0.9521739130434782,KAVAUSDT,0.38597216480639385
2023-05-13T00:00:00Z,24,-0.007790225755346802,0.01777501122316749,-0.025565236978514295,-0.033913043478260865,-0.007691400759981642,0.019059468536339642,-0.025565236978514295,0.35130434782608694,-0.42260869565217385,-0.5921739130434782,0.2495652173913043,-0.15565217391304348,-0.9582608695652173,HBARUSDT,0.009864603481624767
2023-05-20T00:00:00Z,24,0.042261785205566185,0.03370531705290929,0.008556468152656899,0.17739130434782607,0.0443599758952992,0.022911528372510183,0.01075838122861763,0.4530434782608695,0.21739130434782608,-0.4356521739130434,0.25217391304347825,-0.21913043478260866,-0.9217391304347825,SNXUSDT,0.07050730868443678
2023-05-27T00:00:00Z,23,-0.025303307710134514,0.02865042085024776,-0.053953728560382275,-0.532608695652174,-0.05494297173925966,-0.03832816938610087,-0.02273051266607684,0.2934782608695652,-0.13636363636363635,-0.26679841897233203,0.29051383399209485,-0.05632411067193676,-0.8626482213438734,SNXUSDT,-0.053012048192771166
2023-06-03T00:00:00Z,23,-0.23483386911360976,-0.17849351068298205,-0.05634035843062771,-0.24011857707509882,0.022839236076597595,-0.07176435130414563,-0.04389875945971233,0.25691699604743085,-0.37154150197628455,-0.4545454545454546,0.17588932806324112,-0.042490118577075096,-0.8804347826086957,SNXUSDT,-0.24512298558100087
2023-06-10T00:00:00Z,23,0.005457847825024564,-0.008894920191232924,0.014352768016257489,0.12252964426877472,-0.017849512254584927,-0.025198154348222236,0.014366615976366303,0.16205533596837948,-0.0691699604743083,-0.16699604743083005,-0.012845849802371542,-0.1798418972332016,-0.9407114624505929,VETUSDT,-0.0601646611779606
2023-06-17T00:00:00Z,23,0.1814863864977973,0.0842896539598152,0.0971967325379821,0.46640316205533605,0.07358474128849625,-0.08565685854251609,0.10471791897809332,0.27865612648221344,-0.3527667984189723,-0.4337944664031621,0.1847826086956522,-0.3804347826086957,-0.9673913043478262,RUNEUSDT,0.20818291215403129
2023-06-24T00:00:00Z,23,0.07502106589534518,0.1041350392510316,-0.029113973355686412,0.0029644268774703555,-0.1686994923990966,0.08814487153939302,-0.05093830545737343,0.31521739130434784,0.3023715415019763,-0.2934782608695652,0.2855731225296443,0.09288537549407114,-0.9525691699604744,ZECUSDT,0.0747786159396524
2023-07-01T00:00:00Z,24,-0.06821756598658084,-0.042786620202978784,-0.025430945783602055,-0.2434782608695652,0.13227046906797998,-0.05362885250663383,-0.039549853130704346,0.25130434782608696,0.1269565217391304,0.013913043478260868,0.17391304347826084,0.0608695652173913,-0.9721739130434782,ZILUSDT,-0.05909725453699399
2023-07-08T00:00:00Z,24,0.040906901553084206,0.19313595198444294,-0.15222905043135873,0.03304347826086956,0.15265545769565153,-0.15655955898920082,-0.12554113225878966,0.19043478260869565,-0.15304347826086956,-0.20434782608695648,0.1591304347826087,0.00608695652173913,-0.96,ZILUSDT,0.06973293768546007
2023-07-15T00:00:00Z,25,0.016581260308688627,-0.02076090237869106,0.037342162687379686,0.26153846153846155,-0.09980967913001301,0.02537977314935116,0.036622603746086745,-0.03538461538461538,-0.17615384615384613,-0.13615384615384615,-0.19692307692307692,-0.1723076923076923,-0.9223076923076923,1000XECUSDT,0.029950083194675514
2023-07-22T00:00:00Z,25,-0.023297063175546494,-0.008365296990864612,-0.014931766184681882,-0.30000000000000004,0.046669110347106926,0.007576417657718193,-0.026280596650164266,-0.12384615384615384,0.17076923076923078,-0.2692307692307692,-0.31384615384615383,-0.28384615384615386,-0.9246153846153846,1000XECUSDT,0.01033925686591286
2023-07-29T00:00:00Z,24,0.010902475471448491,-0.07908613593894635,0.08998861141039484,0.5443478260869564,0.01584987826922301,-0.05114178551543193,0.08284213532597197,-0.16173913043478258,-0.12608695652173912,-0.2904347826086956,-0.1660869565217391,-0.03043478260869565,-0.9278260869565217,ZECUSDT,-0.017743555406762646
2023-08-05T00:00:00Z,24,0.09910456404849781,0.009740694109271341,0.08936386993922647,-0.07391304347826086,0.10826598130595505,0.014498677349237377,0.08868242010645214,-0.22608695652173913,0.3991304347826086,-0.20956521739130432,-0.32434782608695645,-0.11826086956521738,-0.9582608695652173,ZILUSDT,-0.009419930589985137
2023-08-12T00:00:00Z,24,-0.011648337109947482,-0.14310350434285568,0.1314551672329082,0.08173913043478259,-0.21286886992614487,0.02045196705310881,0.09800872269986452,-0.3069565217391304,0.13565217391304346,0.32347826086956516,-0.2278260869565217,-0.09565217391304347,-0.9608695652173912,HBARUSDT,0.07690956979806862
2023-08-19T00:00:00Z,24,-0.01953380826434974,-0.002853692791904816,-0.016680115472444922,-0.13826086956521738,-0.03575745263073071,-0.05650862406249553,-0.03978133258622196,-0.15565217391304348,0.08869565217391304,0.26347826086956516,-0.06782608695652173,-0.03043478260869565,-0.9608695652173912,1000XECUSDT,-0.014723926380368013
2023-08-26T00:00:00Z,24,-0.024971414456895036,-0.028767326749636356,0.0037959122927413193,-0.042608695652173914,0.009630007503160707,-0.024563523058346522,0.00014106205916066678,-0.2895652173913043,-0.13999999999999999,0.19913043478260867,-0.11043478260869564,-0.17130434782608694,-0.9226086956521738,VETUSDT,-0.02941176470588247
2023-09-02T00:00:00Z,21,-0.002226073457833122,-0.033303301347764734,0.031077227889931613,0.40389610389610386,0.022577691118123463,0.0258346517819563,0.031077227889931613,-0.312987012987013,-0.13766233766233765,0.005194805194805195,-0.17922077922077922,-0.13246753246753248,-0.9155844155844156,AAVEUSDT,-0.01479722323712096
2023-09-09T00:00:00Z,20,0.05191041074968891,0.03620256755325377,0.015707843196435145,-0.060150375939849614,0.06767451281402462,-0.006856687823456137,-0.027478571377570815,-0.1609022556390977,0.4947368421052631,0.20601503759398496,-0.19999999999999998,-0.12180451127819547,-0.8992481203007519,XMRUSDT,0.01917558961438881
2023-09-16T00:00:00Z,20,-0.0042494337437892216,-0.0033247898360376227,-0.0009246439077515989,-0.17744360902255638,0.26579633765403865,-0.02851193627080864,-0.010203531811064287,-0.1789473684210526,0.015037593984962403,-0.013533834586466165,0.10827067669172932,-0.06917293233082707,-0.9368421052631578,XMRUSDT,-0.013802101215408813
2023-09-23T00:00:00Z,20,0.09906513975323372,0.12733088345258142,-0.0282657436993477,-0.1518796992481203,-0.0342743483221795,0.0909846193886622,-0.05304017479281181,-0.24060150375939846,-0.10225563909774435,-0.04060150375939849,0.2556390977443609,0.18496240601503755,-0.9248120300751879,SNXUSDT,0.11219262295081966
2023-09-30T00:00:00Z,21,-0.033438919490080356,-0.03488590241349136,0.0014469829234110068,-0.26493506493506497,0.029900285062796437,-0.07120815031904237,0.004628780546097722,-0.08051948051948052,-0.525974025974026,-0.005194805194805195,0.3675324675324675,0.438961038961039,-0.9402597402597404,AAVEUSDT,-0.08639069638654306
2023-10-07T00:00:00Z,21,-0.042997693156480984,-0.04659740716774412,0.003599714011263133,0.20519480519480518,-0.02064380326452267,-0.018093325504979482,0.019624744260947805,0.005194805194805195,-0.1753246753246753,-0.3194805194805195,0.10389610389610389,0.007792207792207793,-0.9389610389610389,AAVEUSDT,-0.03136838914987106
2023-10-14T00:00:00Z,21,0.06989120665119612,0.1252092279059557,-0.05531802125475958,-0.24935064935064938,0.2821299947469543,0.16779117365313184,-0.14021053287282365,0.031168831168831172,0.005194805194805195,-0.4701298701298702,-0.03506493506493507,-0.15584415584415584,-0.9441558441558441,SNXUSDT,0.13354700854700852
2023-10-21T00:00:00Z,21,0.08565197934790084,0.06754584741608585,0.018106131931814984,0.15194805194805194,-0.03592169706457843,0.0608889538970665,0.018411049521479178,-0.11688311688311687,-0.3038961038961039,-0.5571428571428572,-0.1961038961038961,-0.40649350649350646,-0.9636363636363635,SNXUSDT,0.09377945334590021
2023-10-28T00:00:00Z,22,0.0725739836611345,0.11716725875475091,-0.04459327509361641,-0.23207227555053642,-0.06349422979574465,0.1226451841201926,-0.04511513553964745,-0.05702992659514399,-0.08639186900056467,-0.05477131564088086,-0.2173913043478261,-0.41614906832298143,-0.961603613777527,SNXUSDT,0.0702283498492029
2023-11-04T00:00:00Z,21,0.12158748465948928,0.1380865379919441,-0.016499053332454813,0.05584415584415584,0.34210699461706334,0.2338929894665181,-0.14920497515035253,-0.07922077922077922,0.08961038961038961,-0.012987012987012986,-0.11168831168831168,-0.2675324675324675,-0.9519480519480519,SNXUSDT,0.1557971014492754
2023-11-11T00:00:00Z,23,-0.0514346680771627,-0.014199065581259208,-0.03723560249590349,-0.15316205533596838,-0.04207820803258788,0.07912499762247963,-0.03723560249590349,0.018774703557312256,-0.03359683794466403,-0.18675889328063244,-0.3053359683794466,-0.3942687747035573,-0.9575098814229249,VETUSDT,-0.0385477364410578
2023-11-18T00:00:00Z,25,-0.019444021757859087,-0.031475430488605904,0.012031408730746818,0.25769230769230766,-0.05558306767050028,-0.023757768751760635,0.01073509695673882,0.03153846153846154,0.05461538461538461,-0.10153846153846155,-0.17076923076923078,-0.3030769230769231,-0.9715384615384616,ZILUSDT,-0.04502476361999108
2023-11-25T00:00:00Z,24,0.0295417192004372,0.03407601252573587,-0.004534293325298668,-0.020869565217391303,0.04269022489483171,0.09710382851390915,-0.00988160669672897,-0.005217391304347826,0.013913043478260868,-0.11826086956521738,-0.10086956521739131,-0.20434782608695648,-0.9739130434782608,KAVAUSDT,0.0057723679257120075
2023-12-02T00:00:00Z,24,0.12410271131691233,0.08718176691858855,0.03692094439832379,0.17478260869565218,-0.044378379337313055,0.1502748395875464,-0.1154510092163438,-0.06173913043478261,0.019130434782608695,-0.03043478260869565,-0.14608695652173911,-0.24695652173913044,-0.9643478260869565,VETUSDT,0.22609078889378598
2023-12-09T00:00:00Z,24,-0.06498624805695992,-0.03724788752313466,-0.02773836053382526,-0.10173913043478258,-0.3451389035452863,0.002379406309862636,-0.02773836053382526,-0.07565217391304348,-0.025217391304347827,0.041739130434782605,-0.07391304347826086,-0.19913043478260867,-0.9678260869565216,VETUSDT,0.04816678648454342
2023-12-16T00:00:00Z,24,0.06732224437184293,0.19188832909015022,-0.12456608471830728,-0.15652173913043477,0.2729693046415393,0.21344383100222822,-0.12456608471830728,-0.10956521739130433,0.02695652173913043,0.05391304347826086,-0.02434782608695652,-0.040869565217391296,-0.9626086956521739,ZILUSDT,0.1497835497835498
2023-12-23T00:00:00Z,25,-0.014540456190618677,-0.024974382654457172,0.010433926463838495,-0.07461538461538461,0.21676897756099367,-0.14260674057137748,0.027508000953783383,0.002307692307692308,-0.23846153846153845,0.039999999999999994,0.059230769230769226,-0.11461538461538462,-0.9546153846153845,ZILUSDT,-0.0662650602409639
2023-12-30T00:00:00Z,25,-0.08199664110802125,-0.10101581813279455,0.019019177024773293,-0.5007692307692309,-0.21802241455210308,-0.03377640293732269,0.017625383789084403,0.05846153846153846,-0.19153846153846155,-0.10769230769230768,-0.007692307692307692,-0.30153846153846153,-0.9569230769230769,ZILUSDT,-0.14758064516129032
2024-01-06T00:00:00Z,25,0.2315508550287037,0.044706326340987035,0.18684452868771667,-0.18461538461538463,0.49541285727219175,0.1806635365503288,0.17963706640585422,-0.003846153846153846,-0.2784615384615384,-0.1446153846153846,0.11692307692307692,-0.15307692307692308,-0.9607692307692307,ZILUSDT,0.0066225165562914245
2024-01-13T00:00:00Z,25,-0.005827782915187196,-0.013706079314381924,0.00787829639919473,0.036923076923076927,0.041427032154470474,-0.08991848266383873,0.004903302794140152,0.033846153846153845,-0.003846153846153846,-0.26692307692307693,0.08692307692307692,-0.06230769230769231,-0.9615384615384615,KAVAUSDT,-0.03275582024905255
2024-01-20T00:00:00Z,25,-0.03400609093353195,-0.0014529746105498953,-0.03255311632298205,-0.07769230769230769,-0.05968184385259842,0.003535044984390545,-0.030175924904250515,0.03,-0.15846153846153843,-0.4323076923076923,-0.03230769230769231,-0.07692307692307691,-0.96,ZECUSDT,-0.05089820359281427
2024-01-27T00:00:00Z,25,-0.035168189290431286,-0.013270136386633168,-0.021898052903798117,-0.40692307692307694,0.28031412737624406,0.006661384163851447,-0.07676950816089745,-0.039999999999999994,0.12538461538461537,-0.39384615384615385,-0.11076923076923079,-0.020769230769230772,-0.9823076923076923,ZECUSDT,-0.035601622352411155
2024-02-03T00:00:00Z,23,0.059318480975689966,0.08642461305241747,-0.027106132076727504,-0.2065217391304348,-0.189353093024226,0.15358378168567294,-0.03536005434408769,-0.05335968379446641,-0.3409090909090909,-0.41600790513833996,-0.09881422924901187,-0.05039525691699605,-0.9664031620553359,HBARUSDT,0.1463271875914547
2024-02-10T00:00:00Z,23,0.22216581190086435,0.042278379424561294,0.17988743247630307,0.5810276679841897,0.39752899521795837,-0.022664213536111255,0.17988743247630307,0.017786561264822136,-0.14822134387351776,-0.2855731225296443,-0.02075098814229249,-0.06719367588932806,-0.9664031620553359,HBARUSDT,0.14743426091396472
2024-02-17T00:00:00Z,22,0.07613191828633319,-0.02674915155837627,0.10288106984470946,0.4884246188594016,0.2628447722012937,-0.002147144513773025,0.10288106984470946,0.17108977978543197,0.13721061547148505,-0.17447769621682668,0.11123658949745907,0.09203839638622249,-0.9695087521174479,SNXUSDT,0.0408596444680287
2024-02-24T00:00:00Z,23,0.11463548399637102,0.14275553460910073,-0.028120050612729708,-0.18280632411067196,-0.06436230799719891,-0.07869643704296536,-0.00015150151170142956,0.191699604743083,0.42885375494071143,0.2549407114624506,0.28260869565217395,0.1442687747035573,-0.9664031620553359,HBARUSDT,0.03373560065825565
