decision_time,rankable,middle_return,extremes_return,middle_minus_extremes,middle_score_rank_ic,controlled_middle_score_slope,quadratic_beta_squared_slope,score_market_beta_spearman,score_mom7_spearman,score_mom28_spearman,score_vol28_spearman,score_max28_spearman,score_log_volume30_spearman,selected_symbol,selected_gross_return
2023-03-04T00:00:00Z,24,-0.032600455934935366,-0.04520419579390258,0.012603739858967213,0.016550547764572113,0.00563749023988353,-0.008330376405595802,-0.2312721279733629,0.057491376445355756,0.03571433991302403,-0.08928584978256009,-0.15156817426502883,-0.49085440343875714,BNBUSDT,-0.0019058179424095156
2023-03-11T00:00:00Z,24,0.0879574311185189,0.07617243092061723,0.011785000197901671,0.011759599727459132,0.009174440605609287,-0.010991405393625506,-0.08013949443898076,0.08013949443898076,0.10932072339230527,0.029616769683971148,-0.10409423462454565,-0.20513968413456482,BNBUSDT,0.1658103041244272
2023-03-18T00:00:00Z,24,-0.020104569340119217,-0.0032855991761815972,-0.01681897016393762,-0.16768318129895432,-0.010525070214040295,0.012791631495841362,-0.0844949017454471,0.1411151967295096,0.1328399228472235,-0.1297911377326971,-0.15723020376343505,-0.24477389062340862,BNBUSDT,-0.02239428231089946
2023-03-25T00:00:00Z,24,0.026575083647984686,0.026086178364036795,0.0004889052839478908,0.12064478238911776,-0.010470780977405206,0.007782277192198878,-0.20993063217167784,-0.07883287224704086,-0.05400705060018268,-0.3597566435141201,-0.28832796368807206,-0.2221257726297836,BNBUSDT,-0.0448093091263555
2023-04-01T00:00:00Z,24,0.04372939478373807,-0.018844861177205453,0.06257425596094353,0.42073234580464897,0.02475697876193328,-0.025167915733260333,-0.20993063217167784,0.16594101837636774,-0.0705575983647548,-0.3880667910061514,-0.46123763375478594,-0.1790072402957668,CRVUSDT,0.11589403973509915
2023-04-08T00:00:00Z,24,0.06576112125225642,0.1214696196302963,-0.055708498378039886,-0.4525268191418533,-0.0130910780097493,0.013155286369880486,-0.17073196641348076,0.3654186730125264,0.0239547401855649,-0.40723058315460325,-0.5248265804291946,-0.13196884138593026,CRVUSDT,0.0919881305637984
2023-04-15T00:00:00Z,24,-0.0863570699266973,-0.15029897692687605,0.06394190700017875,0.5056627882807427,0.023994333256676017,-0.02243834437113351,-0.176393995911887,-0.43728289356922107,-0.09886774585678605,-0.24041848331694227,-0.23519199454918263,-0.0884147683212668,CRVUSDT,-0.14583333333333348
2023-04-22T00:00:00Z,24,-0.010232065523493183,0.01203303457525664,-0.022265100098749824,-0.24912929792987495,-0.00448159019614251,0.0030267412770124736,-0.11280504923747835,0.3645475915512331,0.3013941856074711,-0.47996588517259126,-0.19860657317486535,-0.1324043821165769,CRVUSDT,-0.03923647932131491
2023-04-29T00:00:00Z,24,-0.024264672196033323,-0.057964799106602474,0.03370012691056915,0.43946059722245423,0.005841742649726308,-0.005184085051392424,-0.14329290038274275,-0.45818884864025955,0.2047041434039182,-0.3606277249754134,-0.20993063217167784,-0.0770907093244543,CRVUSDT,-0.020971302428256067
2023-05-06T00:00:00Z,24,-0.045959966224251136,-0.01713732382400839,-0.028822642400242748,-0.003484325845173076,-0.036010629427698254,0.04003354936066243,-0.1790072402957668,0.2865858007654855,0.1777006181038269,-0.32883325163820903,-0.17073196641348076,-0.055749213522769216,CRVUSDT,-0.09244644870349483
2023-05-13T00:00:00Z,24,0.014691002450520995,0.012813086446400756,0.0018779160041202392,0.01916379214845192,-0.005424794837272106,0.00993858918383362,-0.16724764056830768,0.11759599727459132,0.13196884138593026,-0.3810981393158052,-0.0932057163583798,-0.022212577262978362,CRVUSDT,0.03726708074534146
2023-05-20T00:00:00Z,24,0.02213265414394532,0.04550895553473179,-0.02337630139078647,-0.24390280916211535,-0.008783653406939495,0.0003871739592924513,-0.1297911377326971,-0.1110628863148918,-0.044425154525956724,-0.3231712221398028,0.017421629225865383,-0.11890261946653123,CRVUSDT,0.029940119760479167
2023-05-27T00:00:00Z,23,-0.009129802113852014,-0.014100507649722793,0.004970705535870779,0.04502726385882402,0.004809407081587322,-0.005331640881832969,-0.27956488000258867,0.13260776608972347,0.11133114690368574,-0.43790251115449724,-0.19198437777168917,-0.32508694895876233,CRVUSDT,-0.015116279069767424
2023-06-03T00:00:00Z,23,-0.18704661257050648,-0.1860928473557682,-0.000953765214738278,-0.04700648424822287,-0.015002898361809493,0.015134535518596216,-0.1335973762844229,0.054428560708468576,-0.21474541224977603,-0.23800125182521262,-0.09450777359379545,-0.2958934482151292,TRXUSDT,-0.13688353216086568
2023-06-10T00:00:00Z,23,0.0342936944926866,-0.0014508135206771967,0.0357445080133638,0.1439882833287669,-0.00837567415927213,0.015631777927453332,-0.2167246326391749,-0.10341426534609031,-0.32855058464021036,-0.21820904793122403,-0.02968830584098286,-0.24888696396690632,TRXUSDT,-0.0015673981191224318
2023-06-17T00:00:00Z,23,0.2899934872649909,0.1722291705536572,0.11776431671133372,0.10044543476199203,-0.011389667149247225,0.02114656886941392,-0.2548246251351029,0.3097479909409212,0.12963893550562516,-0.25977267610860005,0.2894609819495829,-0.1825830809220446,TRXUSDT,0.043242471813900396
2023-06-24T00:00:00Z,23,0.05727110107750164,0.06228150550840765,-0.005010404430906008,0.044037653664124585,0.01922369662218322,-0.021319323953891585,-0.17615061465649834,-0.0653142728501623,-0.006927271362896001,-0.0445324587614743,0.16823373309890288,-0.18555191150614292,BNBUSDT,0.032725142283227315
2023-07-01T00:00:00Z,24,-0.07844439964351539,-0.06824826281773837,-0.010196136825777025,0.14459952257468267,0.001890658835932573,-0.005502687760911317,-0.12369356750364421,-0.02003487360974519,-0.017857169956512015,-0.29355445245583167,-0.1877180549086995,-0.0770907093244543,BNBUSDT,-0.05215171407731589
2023-07-08T00:00:00Z,24,0.05134442091975635,0.16374609236517082,-0.11240167144541446,-0.04224745087272355,-0.04442151227475012,0.05048199658235973,-0.1250001896955841,0.2155926616700841,0.10060990877937258,-0.1994776546361586,-0.23214320943465622,-0.11367613069877161,UNIUSDT,0.09395331037122068
2023-07-15T00:00:00Z,25,0.015037480128513248,0.04318239135922049,-0.02814491123070724,0.04736237276398103,-0.00806192713502528,0.006250182422369593,-0.21293814746732934,-0.27993857723100984,-0.12244906129224364,-0.335387208759573,-0.342703347641814,-0.12244906129224364,BNBUSDT,0.0026457213724679907
2023-07-22T00:00:00Z,25,-0.02033066124052736,-0.021656404932047936,0.0013257436915205777,0.0011551798235117324,0.00317036108973027,-0.004449016281862973,0.027724315764281582,-0.2379670436434169,-0.15748951593876617,-0.40315775840559465,-0.48209504634556305,0.021563356705552338,SOLUSDT,-0.02084680025856489
2023-07-29T00:00:00Z,24,-0.03443990921128204,-0.059836210202970155,0.025396300991688117,0.2726484973847932,-0.00594865488820978,0.0029256520928409055,0.00479094803711298,0.4050528795013701,-0.016550547764572113,-0.3397217699043749,-0.1951222473296923,-0.11846707873588459,SOLUSDT,-0.04344776365736924
2023-08-05T00:00:00Z,24,0.013342636006177378,-0.0016133244902498678,0.014955960496427246,0.2591467347347476,0.010704148851272924,-0.014518807988994447,0.2547913274282812,0.1750873737199471,-0.00958189607422596,-0.22865888358948314,-0.01959933287909855,-0.2556624088895745,SOLUSDT,0.04460164775913378
2023-08-12T00:00:00Z,24,-0.11749644279900846,-0.12547406696804148,0.007977624169033012,0.08362382028415384,-0.00925490877471424,0.003557172976294677,0.1842337290635264,-0.1045297753551923,-0.07534854640186778,-0.3410283920963148,-0.3741294876254591,-0.33144649602208887,ETCUSDT,-0.1119547841973052
2023-08-19T00:00:00Z,24,-0.03876462901225648,-0.01607090991536745,-0.022693719096889033,-0.022648117993624994,-0.005086137454910362,0.00037997192750866666,0.044860695256603356,0.3810981393158052,0.3523524510931273,-0.20296198048133168,-0.11454721216006489,-0.24825821646858168,ETCUSDT,0.028993892639022745
2023-08-26T00:00:00Z,24,-0.04311754207518492,-0.041727272534902306,-0.0013902695402826168,-0.009146355343579325,-0.004252857181292868,9.912130791418046e-05,0.08188165736156729,-0.29965202268488456,0.3728228654335192,-0.43728289356922107,-0.2861502600348389,-0.23736969820241582,SOLUSDT,-0.05890846087207624
2023-09-02T00:00:00Z,21,-0.012113808390689674,0.007643442705016612,-0.019757251095706287,-0.12036457540761211,-0.01557397649199374,0.012616414520567481,0.10149661493831076,0.3162009926924297,0.2478859634070282,-0.23031924159078207,-0.03903715959165798,-0.22121057101939523,SOLUSDT,-0.06822133578807399
2023-09-09T00:00:00Z,20,0.09077034722910038,-0.0028009616558981043,0.09357130888499848,0.4120534613897431,0.018312738090044075,-0.016236385826031097,0.14011324281260004,-0.06930332440193121,0.0647835423757183,-0.06177035435824303,0.04143133524028496,0.07382310642814412,SOLUSDT,0.03177826564215147
2023-09-16T00:00:00Z,20,-0.03712406518237957,-0.007096158763975416,-0.03002790641840415,-0.2365352593718087,-0.000629843722248394,-0.0024522192319026866,0.014312643083007531,0.29303253469947,0.1687385289786151,0.10696817462037209,0.14764621285628823,-0.14689291585191938,RUNEUSDT,-0.08887677208287892
2023-09-23T00:00:00Z,20,0.18531237430079034,0.06317487021487503,0.12213750408591531,0.614690355564955,0.034372594776062734,-0.03515112348061299,0.0821093734762011,-0.1860643600790979,0.371375423153827,0.22749569531938288,0.23578196236743987,0.060263760349505396,SOLUSDT,0.23374677002583977
2023-09-30T00:00:00Z,21,-0.06421810120216735,-0.04162535823435295,-0.022592742967814404,-0.1372806778973306,0.003065724576870748,0.004026581553375449,0.0650619326527633,0.16070297365232536,0.3767085900594996,0.10344847291789365,0.10865342753011471,-0.1873783660399583,LINKUSDT,-0.04733507267983594
2023-10-07T00:00:00Z,21,-0.039916777462490116,-0.04087887433366805,0.000962096871177931,0.04619397218346195,-0.00297924179526574,0.0016141706718887437,0.05725450073443171,-0.25829587263147036,0.28432064569257565,0.06115821669359751,0.03253096632638165,-0.12687076867288843,LINKUSDT,-0.03247261345852903
2023-10-14T00:00:00Z,21,0.12310348164764436,0.09293602338516019,0.030167458262484168,0.26935640118244014,0.0062952096748963605,-0.0021060692435106378,0.04489273353040668,0.20754756516231496,0.04749521083651722,0.0767730805302607,-0.027976631040688222,-0.12361767204025027,LINKUSDT,0.372556948375792
2023-10-21T00:00:00Z,21,0.17129616929136296,0.07122918578305348,0.10006698350830948,0.4248544202225444,0.02476255258630918,-0.015146135670272494,0.1320757232851095,-0.0787249385098436,0.13077448463205424,0.2296686222642545,0.11646085944844632,0.027326011714160586,SOLUSDT,0.13083017568033073
2023-10-28T00:00:00Z,22,0.17648878057860953,0.08450045011299849,0.09198833046561104,0.24490985483992064,-0.002828831490355996,0.006486343642612129,0.17929890065647772,0.24943474823188225,0.3150457024153252,0.17024911387255456,-0.015837126871865538,0.048642603963587015,LINKUSDT,0.10343583731625938
2023-11-04T00:00:00Z,21,0.09549765534933793,0.14902693306931003,-0.053529277719972096,0.21535499708064654,0.05109261160196377,-0.050652696749278525,0.08392989312206467,-0.11711147877497394,0.21275251977453602,-0.0650619326527633,0.0884842284077581,-0.35523815228408767,ETCUSDT,0.11554493414105482
2023-11-11T00:00:00Z,23,-0.03837632009051863,0.017939552166636875,-0.05631587225715551,0.015338958017841147,-0.01559445999151955,0.008368286408329883,0.02671947525688458,0.27610124432114064,0.14349347823141717,-0.08857011242559887,0.10638309593018859,-0.3236025336667132,ETCUSDT,-0.023116779593463477
2023-11-18T00:00:00Z,25,0.020576116055673888,-0.024967874551289394,0.04554399060696328,0.4224107554641235,0.005382107901289051,-0.006773483589906981,-0.13900663876257846,-0.10204088441020302,0.03619563447003428,-0.10858690341010285,-0.14401241799779596,-0.2988065143483681,CRVUSDT,0.00868055555555558
2023-11-25T00:00:00Z,24,0.01924792308859873,0.033297248604789574,-0.014049325516190845,-0.0013066221919399038,0.0034015955085477407,-0.004059820992654167,-0.15200371499567544,-0.03440771772108413,-0.06533110959699517,-0.04181191014207692,0.006097570229052884,-0.42334559018852874,ETCUSDT,0.038590253085128534
2023-12-02T00:00:00Z,24,0.15110651891857696,0.1418381723385072,0.009268346580069753,0.2243034762830168,-0.018343614429711115,0.016512401943608444,-0.12238694531170431,-0.398084227811024,0.057491376445355756,0.07491300567122114,0.05966908009858893,-0.3458193401334278,ETCUSDT,0.10708891350317207
2023-12-09T00:00:00Z,24,-0.07256717255501258,-0.06576262271447779,-0.006804549840534788,0.11933816019717786,0.011170108718588308,-0.014580216574295009,0.10932072339230527,-0.07578408713251442,-0.265679845694447,-0.018728251417805285,-0.029181228953324517,-0.30052310414617783,CRVUSDT,-0.0859916782246879
2023-12-16T00:00:00Z,24,0.025334830626923856,0.07758214249037619,-0.052247311863452335,-0.06925097617281488,0.0039493582699716145,-0.012720319570533791,0.04094082868078364,0.2421606462395288,0.08013949443898076,-0.05052272475500961,-0.14198627819080287,-0.16855426276024757,SNXUSDT,0.08399576046634882
2023-12-23T00:00:00Z,25,-0.0400883366111676,-0.002439590568302186,-0.03764874604286541,-0.19676562993816507,-0.006896550465686437,0.002501659983459768,0.20331164893806492,0.19060467087943586,0.07508668852826261,0.10704666364542054,-0.1844437118207066,-0.15017337705652523,SOLUSDT,-0.09591194968553451
2023-12-30T00:00:00Z,25,-0.067075344564035,-0.12738841019012628,0.06031306562609129,0.014247217823311367,0.029151226919072966,-0.017825482305580488,0.09819028499849726,-0.07200620899889798,0.0958799253514738,-0.00616095905872924,-0.18174829223251254,-0.15825963582110736,CRVUSDT,-0.1454545454545454
2024-01-06T00:00:00Z,25,0.2377251386849304,0.041725724011115614,0.19599941467381476,0.1809781723501714,0.03891819395273771,-0.047705063778210585,0.0854833069398682,-0.020023116940870028,0.07046596923421568,0.15017337705652523,-0.007701198823411549,-0.14170205835077251,SOLUSDT,0.04937705504730783
2024-01-13T00:00:00Z,25,-0.059639136665206594,-0.0241453763380167,-0.03549376032718989,-0.002695419588194042,0.011784196692591307,-0.011986056913444424,0.12090882152756133,0.05159803211685738,0.17751263287963623,0.31536409181870295,0.29649615470134466,-0.005390839176388084,SOLUSDT,-0.028967589977512143
2024-01-20T00:00:00Z,25,-0.03248327291634785,-0.018983781452323645,-0.013499491464024207,0.007701198823411549,-0.0024591580535620605,-0.0003052744032906898,0.0939546256456209,0.016172517529164255,0.09973052476317956,0.2241048857612761,0.24528318252565784,0.030804795293646197,SOLUSDT,0.05308908913303534
2024-01-27T00:00:00Z,25,-0.0018731608640568886,0.007385032224781085,-0.009258193088837973,0.13053532005682578,-0.006175730191905223,0.007566330687387916,0.08124764758699185,-0.1709666138797364,0.12668472064511999,0.24836366205502247,0.34077804793596106,0.03350021488184024,ETCUSDT,0.06345490913733665
2024-02-03T00:00:00Z,23,0.03502743955564438,0.11195284895880261,-0.07692540940315823,-0.15388438527576115,-0.04572557154567985,0.04020207322360719,0.04205843327472572,0.06927271362896002,0.12320646924007887,0.21276619186037718,0.3062843552594732,0.09153894300969717,ETCUSDT,0.035577076996958557
2024-02-10T00:00:00Z,23,0.049565924375808604,0.10913554440895475,-0.05956962003314614,-0.0034636356814480005,-0.0022372163084265623,-0.0021883996883670077,-0.011875322336393143,-0.07619998499185601,-0.38842200141952576,0.08411686654945144,0.09945582456729259,0.038099992495928006,ETCUSDT,0.02685782741430609
2024-02-17T00:00:00Z,22,0.013441356293527162,0.0549029845568579,-0.04146162826333074,0.24830352488389185,0.0061413210386845815,-0.046592733898301285,0.05656116739951978,-0.4168558037344608,-0.4072404052765424,-0.14083730682480425,-0.4847292046138845,0.18721746409241047,SOLUSDT,-0.07809940895819978
2024-02-24T00:00:00Z,23,0.2009939326714118,0.1788092769763768,0.022184655695035,0.28055449019728806,-0.011771253803575582,0.029969687600605626,0.0445324587614743,0.25581423532980235,-0.2741220239317418,-0.3661557720387887,-0.5131128859516538,0.20534411540013145,SOLUSDT,0.25812493965434014
